SEC14L4	SEC14L4
NDUFB8	NDUFB8
RPL39	RPL39
MMP1	MMP1
DOCK4	DOCK4
PLAG1	PLAG1
TGOLN2	TGOLN2
PNISR	PNISR
LOC283481	LOC283481
LOC729970	LOC729970
CAMK2N2	CAMK2N2
THBD	THBD
XKR4	XKR4
AURKA	AURKA
SYCN	SYCN
TRIM50	TRIM50
PLN	PLN
CORO7	CORO7
DNAJC25	DNAJC25
FAM124A	FAM124A
ABI3BP	ABI3BP
HP1BP3	HP1BP3
PSMA8	PSMA8
CSRP2	CSRP2
ARHGAP9	ARHGAP9
NKX2-3	NKX2-3
GDI1	GDI1
XPNPEP2	XPNPEP2
OSBPL8	OSBPL8
UHRF1	UHRF1
PLCZ1	PLCZ1
DPF2	DPF2
LRWD1	LRWD1
KLHL10	KLHL10
LHX2	LHX2
OAZ3	OAZ3
TMEM132E	TMEM132E
NNMT	NNMT
CSPG4	CSPG4
ADAP1	ADAP1
RPS21	RPS21
PLOD2	PLOD2
SLC26A3	SLC26A3
THAP11	THAP11
GFM1	GFM1
TSPAN11	TSPAN11
AVPR1A	AVPR1A
F9	F9
PRRC2C	PRRC2C
YPEL5	YPEL5
ZCCHC7	ZCCHC7
SCRN2	SCRN2
ENTPD2	ENTPD2
LOC283663	LOC283663
MTX1	MTX1
PPFIBP2	PPFIBP2
SNCAIP	SNCAIP
TSSK6	TSSK6
C10orf54	C10orf54
BTBD6	BTBD6
GLT1D1	GLT1D1
ADCK1	ADCK1
CYLC1	CYLC1
PITPNA	PITPNA
TGFBI	TGFBI
CYGB	CYGB
FBXO16	FBXO16
MBLAC2	MBLAC2
DNAJC21	DNAJC21
TMCC3	TMCC3
C17orf50	C17orf50
RPL27	RPL27
BMPR1A	BMPR1A
SMARCA4	SMARCA4
SMAD9	SMAD9
LRG1	LRG1
SOCS7	SOCS7
CR1	CR1
TRABD2A	TRABD2A
CCDC11	CCDC11
ADAT3	ADAT3
LRRC47	LRRC47
TBX3	TBX3
MED19	MED19
DIMT1	DIMT1
LOC100131262	LOC100131262
HR	HR
AOC3	AOC3
TMPRSS6	TMPRSS6
FBXL16	FBXL16
PLA2G12A	PLA2G12A
ZNF711	ZNF711
RFTN2	RFTN2
EMILIN3	EMILIN3
TM2D1	TM2D1
KIAA0895L	KIAA0895L
PRODH	PRODH
GBA3	GBA3
GDA	GDA
ITGB8	ITGB8
FAM125A	MVB12A
AHSA2	AHSA2
NAB1	NAB1
PNLIPRP2	PNLIPRP2
SLC7A1	SLC7A1
TMEM37	TMEM37
SBSN	SBSN
RUNDC3B	RUNDC3B
TRIM45	TRIM45
MAPK12	MAPK12
DDRGK1	DDRGK1
